"title","year","duration_mins","imdb_rating","metascore","pg_rating","user_reviews_clean","critic_reviews_clean","budget_clean","gross_world_clean","gross_us_clean","opening_weekend_clean","sentiment_score","Genre_Adventure","Genre_Family","Genre_Fantasy","Genre_Comedy","Genre_Biography","Genre_Drama","Genre_History","Genre_Animation","Genre_Action","Genre_SciFi","Genre_Music","Genre_Musical","Genre_Romance","Genre_Horror","Genre_Thriller","Genre_Crime","Genre_Documentary","Genre_News","Genre_TalkShow","Genre_Mystery","Genre_Short","Genre_GameShow","Genre_RealityTV","Genre_Western","Genre_Sport","Genre_War","Genre_FilmNoir","Genre_Adult"
"Matilda: The Musical",2022,117,7,72,"PG",217,87,2.5e+07,37289659,NA,NA,-4,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Διαστημικά καλάθια",1996,88,6.5,57,"PG",322,87,8e+07,230594962,90594962,27528529,10,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Φλάμπερ",1997,93,5.3,38,"NA",101,55,8e+07,177977226,92977226,26725207,16,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Αγάπη μου, συρρίκνωσα τα παιδιά",1989,93,6.4,63,"NA",127,52,1.8e+07,222724172,130724172,14262961,7,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"The Neverending Story",1984,102,7.3,49,"PG",444,108,2.7e+07,20292317,20192381,4325823,-4,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ποιος παγίδεψε τον Ρότζερ Ράμπιτ",1988,104,7.7,83,"PG",395,160,7e+07,329803958,156452370,11226239,10,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Zathura: Μια περιπέτεια στο διάστημα",2005,101,6.3,67,"PG",300,98,6.5e+07,65079236,29258869,13427872,2,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ο Πάντινγκτον στο Περού",2024,106,6.6,65,"PG",171,141,9e+07,171477544,45800000,12761398,5,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Πίτερ Ράμπιτ",2018,95,6.6,51,"PG",358,151,5e+07,351516614,115253424,25010928,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Sonic: Η ταινία",2020,99,6.5,47,"NA",1400,278,8.5e+07,319715683,148974665,58018348,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Angry Birds: Η ταινία",2016,97,6.3,43,"PG",252,200,7.3e+07,352333929,107509366,38155177,-6,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Πίτερ Ράμπιτ: Ο λαγός το 'σκασε",2021,93,6.2,43,"PG",136,74,4.5e+07,153901717,40501717,10101066,3,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Η εποχή των παγετώνων 5: Σε τροχιά σύγκρουσης",2016,94,5.7,34,"PG",175,153,1.05e+08,408754975,64063008,21373064,14,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Αρχηγός από κούνια",2017,97,6.3,50,"NA",304,184,1.25e+08,527965936,175003033,50198902,9,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Happy Feet 2",2011,100,5.8,50,"NA",103,137,1.35e+08,159197038,64006466,21237068,9,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Open Season: Scared Silly!",2015,84,5,NA,"PG",11,9,5500000,1774429,NA,NA,-5,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Τομ και Τζέρι: Η ταινία",2021,101,5.3,32,"PG",702,156,7.9e+07,136536687,46536687,14112629,-2,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Τα Στρουμφάκια: Το χαμένο χωριό",2017,90,6,40,"NA",106,110,6e+07,197183546,45020282,13210449,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"West Side story",1961,153,7.6,86,"NA",529,165,6e+06,44136460,44055492,207145,16,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
